
[+] Resolving hosts from [ host.txt ]
+-----------------------------------------------------------------------------+-----------------+-------+
| Hostname                                                                    | IP              | RType |
| 111-api.68.97.143.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-api1.68.97.128.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-api1.68.97.132.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-april.68.97.128.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-backend.68.97.131.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-billing.68.97.134.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-brand.68.97.129.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-brand.68.97.133.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-bucket.68.97.137.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-bucket.68.97.139.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-bucky.68.97.128.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-bucky.68.97.137.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-cdn.68.97.135.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-chef.68.97.135.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-ci.68.97.143.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-cloudfront.68.97.128.ist.edu.pk                                         | 111.68.97.150   |   A   |
| 111-cms1.68.97.139.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-com.68.97.142.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-confluence.68.97.142.ist.edu.pk                                         | 111.68.97.150   |   A   |
| 111-container.68.97.139.ist.edu.pk                                          | 111.68.97.150   |   A   |
| 111-d.68.97.137.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-db.68.97.128.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-dec.68.97.130.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-dec.68.97.133.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-dev.68.97.130.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-dev1.68.97.145.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-developer.68.97.143.ist.edu.pk                                          | 111.68.97.150   |   A   |
| 111-devops.68.97.134.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-docker.68.97.139.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-docs.68.97.136.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-docs.68.97.141.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-drop.68.97.136.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-edge.68.97.130.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-edge.68.97.133.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-edge.68.97.139.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-email.68.97.128.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-email.68.97.136.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-email.68.97.139.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-eng.68.97.128.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-engima.68.97.145.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-eu.68.97.128.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-eu.68.97.134.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-europe.68.97.136.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-europe.68.97.137.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-europewest.68.97.128.ist.edu.pk                                         | 111.68.97.150   |   A   |
| 111-euw.68.97.132.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-euw.68.97.133.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-euw.68.97.142.ist.edu.pk                                                | 111.68.97.150   |   A   |
